"opportunityId","clusterId","recommendedPageTitle","recommendedSlug","primaryKeyword","supportingKeywordCount","supportingKeywords","pageType","intent","overlap_route","overlap_sourceFile","overlap_matchedTokens","overlap_baseTokenCount","overlap_overlapRatio","score","sb_serviceFitHint","sb_buyerIntentHint","sb_localIntentHint","sb_clusterDepth","sb_modifierStrength","sb_existingOverlapPenalty","sb_dataCompleteness","rationale","recommendedNextAction"
"o-013","c-793","Goodwill Employee Handbook","goodwill-employee-handbook","goodwill employee handbook","3","goodwill employee handbook 2020 | goodwill employee handbook 2021 | goodwill employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-014","c-1445","Ymca Employee Handbook","ymca-employee-handbook","ymca employee handbook","3","ymca employee handbook 2020 | ymca employee handbook 2021 | ymca employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-015","c-278","Allied Universal Employee Handbook","allied-universal-employee-handbook","allied universal employee handbook","3","allied universal employee handbook 2020 | allied universal employee handbook 2021 | allied universal employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-049","c-291","Va Employee Handbook","va-employee-handbook-2022","va employee handbook 2022","4","va employee handbook | va employee handbook 2020 | va employee handbook 2021 | va employee handbook 5011","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=5, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-051","c-332","Giant Food Employee Handbook","giant-food-employee-handbook-2022","giant food employee handbook 2022","3","giant food employee handbook | giant food employee handbook 2020 | giant food employee handbook 2021","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-052","c-406","Aramark Employee Handbook","aramark-employee-handbook","aramark employee handbook","3","aramark employee handbook 2020 | aramark employee handbook 2021 | aramark employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-053","c-433","Bank America Employee Handbook","bank-of-america-employee-handbook","bank of america employee handbook","3","bank of america employee handbook 2020 | bank of america employee handbook 2021 | bank of america employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-054","c-489","Burger King Employee Handbook","burger-king-employee-handbook","burger king employee handbook","3","burger king employee handbook 2020 | burger king employee handbook 2021 | burger king employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-055","c-635","Disney Employee Handbook","disney-employee-handbook","disney employee handbook","3","disney employee handbook 2020 | disney employee handbook 2021 | disney employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-056","c-761","Frito Lay Employee Handbook","frito-lay-employee-handbook","frito lay employee handbook","3","frito lay employee handbook 2020 | frito lay employee handbook 2021 | frito lay employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-057","c-941","Little Caesars Employee Handbook","little-caesars-employee-handbook","little caesars employee handbook","3","little caesars employee handbook 2020 | little caesars employee handbook 2021 | little caesars employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-058","c-1224","Shoprite Employee Handbook","shoprite-employee-handbook","shoprite employee handbook","3","shoprite employee handbook 2020 | shoprite employee handbook 2021 | shoprite employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-059","c-1379","Ups Employee Handbook","ups-employee-handbook","ups employee handbook","3","ups employee handbook 2020 | ups employee handbook 2021 | ups employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-060","c-325","Autozone Employee Handbook","autozone-employee-handbook-2022","autozone employee handbook 2022","3","autozone employee handbook | autozone employee handbook 2020 | autozone employee handbook 2021","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-061","c-340","Union Employee Handbook","1199-union-employee-handbook","1199 union employee handbook","3","1199 union employee handbook 2020 | 1199 union employee handbook 2022 | union employee handbook","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-062","c-381","Aldi Employee Handbook","aldi-employee-handbook","aldi employee handbook","3","aldi employee handbook 2020 | aldi employee handbook 2021 | aldi employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-063","c-643","Domino S Employee Handbook","domino-s-employee-handbook","domino's employee handbook","3","domino's employee handbook 2020 | domino's employee handbook 2021 | domino's employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-064","c-744","Five Guys Employee Handbook","five-guys-employee-handbook","five guys employee handbook","3","five guys employee handbook 2020 | five guys employee handbook 2021 | five guys employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-065","c-813","Hca Employee Handbook","hca-employee-handbook","hca employee handbook","3","hca employee handbook 2020 | hca employee handbook 2021 | hca employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-066","c-1120","Pizza Hut Employee Handbook","pizza-hut-employee-handbook","pizza hut employee handbook","3","pizza hut employee handbook 2020 | pizza hut employee handbook 2021 | pizza hut employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-067","c-1243","Sodexo Employee Handbook","sodexo-employee-handbook","sodexo employee handbook","3","sodexo employee handbook 2020 | sodexo employee handbook 2021 | sodexo employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-068","c-1296","Taco Bell Employee Handbook","taco-bell-employee-handbook","taco bell employee handbook","3","taco bell employee handbook 2020 | taco bell employee handbook 2021 | taco bell employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-069","c-1313","Tenet Healthcare Employee Handbook","tenet-healthcare-employee-handbook","tenet healthcare employee handbook","3","tenet healthcare employee handbook 2020 | tenet healthcare employee handbook 2021 | tenet healthcare employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-085","c-895","Kfc Employee Handbook","kfc-employee-handbook","kfc employee handbook","3","kfc employee handbook 2020 | kfc employee handbook 2021 | kfc employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-086","c-1278","Stop Shop Employee Handbook","stop-and-shop-employee-handbook","stop and shop employee handbook","3","stop and shop employee handbook 2020 | stop and shop employee handbook 2021 | stop and shop employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-087","c-1324","Tim Hortons Employee Handbook","tim-hortons-employee-handbook","tim hortons employee handbook","3","tim hortons employee handbook 2020 | tim hortons employee handbook 2021 | tim hortons employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-102","c-055","Dental Employee Handbook","dental-office-employee-handbook","dental office employee handbook","1","dental employee handbook","audience-service","audience-specific","","","","","","7","3","0","0","1","1","0","2","Priority heuristic 7. Signals: intent=audience-specific, pageType=audience-service, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-110","c-176","Dental Employee Manual","dental-office-employee-manual","dental office employee manual","1","dental employee manual","audience-service","audience-specific","","","","","","7","3","0","0","1","1","0","2","Priority heuristic 7. Signals: intent=audience-specific, pageType=audience-service, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-112","c-262","Group Employee Handbook","group-home-employee-handbook","group home employee handbook","1","group 1 employee handbook","audience-service","audience-specific","","","","","","7","3","0","0","1","1","0","2","Priority heuristic 7. Signals: intent=audience-specific, pageType=audience-service, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-115","c-293","Medical Employee Handbook","medical-office-employee-handbook","medical office employee handbook","1","medical employee handbook","audience-service","audience-specific","","","","","","7","3","0","0","1","1","0","2","Priority heuristic 7. Signals: intent=audience-specific, pageType=audience-service, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-131","c-897","Kindred Employee Handbook","kindred-at-home-employee-handbook","kindred at home employee handbook","1","kindred employee handbook","audience-service","audience-specific","","","","","","7","3","0","0","1","1","0","2","Priority heuristic 7. Signals: intent=audience-specific, pageType=audience-service, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-146","c-473","Boots Employee Handbook","boots-employee-handbook","boots employee handbook","3","boots employee handbook 2020 | boots employee handbook 2021 | boots employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-273","c-139","Employee Handbook Practices","employee-handbook-best-practices","employee handbook best practices","0","","comparison","commercial-comparison","","","","","","7","3","1","0","0","1","0","2","Priority heuristic 7. Signals: intent=commercial-comparison, pageType=comparison, keywords=1, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-384","c-261","Policies Include Employee Handbook","policies-to-include-in-employee-handbook","policies to include in employee handbook","0","","service-location","local","/","src/app/page.tsx","1","4","0.25","7","3","0","2","0","1","-1","2","Priority heuristic 7. Signals: intent=local, pageType=service-location, keywords=1, volumeData=supplied, existingOverlap=0.25. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-550","c-455","Employee Manuals","best-employee-manuals","best employee manuals","0","","comparison","commercial-comparison","","","","","","7","3","1","0","0","1","0","2","Priority heuristic 7. Signals: intent=commercial-comparison, pageType=comparison, keywords=1, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-670","c-596","Creative Solutions Healthcare Employee Handbook","creative-solutions-in-healthcare-employee-handbook","creative solutions in healthcare employee handbook","0","","service-location","local","/","src/app/page.tsx","1","5","0.2","7","3","0","2","0","1","-1","2","Priority heuristic 7. Signals: intent=local, pageType=service-location, keywords=1, volumeData=supplied, existingOverlap=0.2. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-008","c-113","Childcare Staff Handbook","childcare-staff-handbook","childcare staff handbook","1","staff handbook childcare","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-016","c-390","Amazon Employee Handbook","amazon-employee-handbook","amazon employee handbook","2","amazon employee handbook 2022 | employee handbook amazon","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-017","c-545","Chipotle Employee Handbook","chipotle-employee-handbook","chipotle employee handbook","2","chipotle employee handbook 2021 | chipotle employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-019","c-1415","Wells Fargo Employee Handbook","wells-fargo-employee-handbook","wells fargo employee handbook","1","wells fargo employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-020","c-013","Restaurant Employee Handbook","restaurant-employee-handbook","restaurant employee handbook","2","restaurant employee handbook 2022 | restaurant employee handbook 2021","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-021","c-028","Daycare Employee Handbook","daycare-employee-handbook","daycare employee handbook","2","daycare employee handbook 2020 | daycare employee handbook 2021","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-071","c-333","Fedex Ground Employee Handbook","fedex-ground-employee-handbook-2022","fedex ground employee handbook 2022","2","fedex ground employee handbook | fedex ground employee handbook 2020","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-072","c-556","Citi Employee Handbook","citi-employee-handbook","citi employee handbook","2","citi employee handbook 2021 | citi employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-074","c-777","Genesis Healthcare Employee Handbook","genesis-healthcare-employee-handbook","genesis healthcare employee handbook","2","genesis healthcare employee handbook 2021 | genesis healthcare employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-075","c-837","Hollister Employee Handbook","hollister-employee-handbook","hollister employee handbook","2","hollister employee handbook 2021 | hollister employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-076","c-856","Ihop Employee Handbook","ihop-employee-handbook","ihop employee handbook","2","ihop employee handbook 2021 | ihop employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-077","c-879","Jcpenney Employee Handbook","jcpenney-employee-handbook","jcpenney employee handbook","2","jcpenney employee handbook 2021 | jcpenney employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-078","c-942","Live Nation Employee Handbook","live-nation-employee-handbook","live nation employee handbook","2","live nation employee handbook 2021 | live nation employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-079","c-987","Meijer Employee Handbook","meijer-employee-handbook","meijer employee handbook","2","meijer employee handbook 2021 | meijer employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-080","c-1055","Northwell Employee Handbook","northwell-employee-handbook","northwell employee handbook","2","northwell employee handbook 2021 | northwell employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-081","c-1116","Pilot Flying J Employee Handbook","pilot-flying-j-employee-handbook","pilot flying j employee handbook","2","pilot flying j employee handbook 2020 | pilot flying j employee handbook 2021","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-082","c-1151","Randstad Employee Handbook","randstad-employee-handbook","randstad employee handbook","2","randstad employee handbook 2021 | randstad employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-083","c-1233","Six Flags Employee Handbook","six-flags-employee-handbook","six flags employee handbook","2","six flags employee handbook 2021 | six flags employee handbook 2022","pillar","general","","","","","","6","3","0","0","1","0","0","2","Priority heuristic 6. Signals: intent=general, pageType=pillar, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
